241005001,김희애,01088889999,0005194232323,내과,이마크
241005002,김혜영,01044443333,9812122454545,이비인후과,황런쥔
241005003,전민하,01090295492,9910292321456,내과,이마크
241005004,김수현,01045632145,2010233101452,소아과,김정우
241005005,최기백,01047851236,8711271024563,이비인후과,정재현
241005006,정서환,01047859654,6702011023654,이비인후과,정재현
241005007,정해인,01089654123,8610231024569,이비인후과,정재현
241005008,김고은,01045786321,6504122012365,내과,이해찬
241005009,황정민,01056892345,7009011898989,내과,이해찬
241005010,장원영,01078561245,1008314898989,소아과,나재민
241005011,변우석,01078451289,9110311787878,소아과,김정우
241005012,손석구,01047586936,8302071787878,이비인후과,정재현
241005013,강동원,01014253696,8101181787878,내과,이마크241007001,lee,01055556666,1234561234567,내과,이마크
